L_air,L_cut,L_cut_base,L_kerf_extra,L_lead,L_shared,N_lift,T_est,U,board,kerf_mode,lead_in,lead_out,min_trails_lb,n_comp,n_parts,n_stroke,n_tabs,odd_total,stroke_over_lb,tool_d
6759.030348696384,22029.59289474462,21408.0,301.59289474462014,320.0,0.0,16,136.46602517111586,0.9377257457672669,1,tool_center,10.0,10.0,10,10,4,16,16,20,1.6,6.0
7279.735014973438,28717.938009881545,27669.0,508.93800988154646,540.0,0.0,27,179.7491600793546,0.9393879333512497,2,tool_center,10.0,10.0,17,17,6,27,24,30,1.588235294117647,6.0
6774.263260155208,14342.393782901543,13798.5,263.89378290154264,280.0,0.0,14,96.46049543481814,0.905063826928245,3,tool_center,10.0,10.0,10,10,3,14,12,18,1.4,6.0
8096.5765181201195,29671.98223686155,28118.0,753.9822368615503,800.0,0.0,40,196.55306422054798,0.8974956328943833,4,tool_center,10.0,10.0,26,26,9,40,36,40,1.5384615384615385,6.0
6918.182118896359,18490.38934211693,17558.0,452.3893421169302,480.0,0.0,24,125.48831094837738,0.9241185165278151,5,tool_center,10.0,10.0,14,14,5,24,18,20,1.7142857142857142,6.0
7333.080879840369,23987.3362335677,22783.0,584.3362335677015,620.0,0.0,31,159.40284292751926,0.9238937785541521,6,tool_center,10.0,10.0,19,19,7,31,27,28,1.631578947368421,6.0
9827.3086166279,35700.27424344925,33447.0,1093.274243449248,1160.0,0.0,58,244.55598845050204,0.8899069470572427,7,tool_center,10.0,10.0,36,36,13,58,52,54,1.6111111111111112,6.0
8671.78188607222,27043.880460547705,25334.5,829.3804605477054,880.0,0.0,44,187.76296607488297,0.9090581328943832,8,tool_center,10.0,10.0,28,28,10,44,40,42,1.5714285714285714,6.0
7922.972810386728,17402.39023027385,16547.699999999997,414.6902302738527,440.0,0.0,22,120.4578967721427,0.9404118852459017,9,tool_center,10.0,10.0,15,15,5,22,20,24,1.4666666666666666,6.0
8624.75544554822,22647.28312501847,21171.0,716.2831250184728,760.0,0.0,38,160.8859265161888,0.8699254232733137,10,tool_center,10.0,10.0,23,23,8,38,31,36,1.6521739130434783,6.0
8115.010030578823,20385.734457253857,19026.0,659.7344572538566,700.0,0.0,35,146.15869234742695,0.9305295115560334,11,tool_center,10.0,10.0,22,22,8,35,31,30,1.5909090909090908,6.0
8673.941980962856,15795.787565803086,14708.0,527.7875658030853,560.0,0.0,28,118.72682179094116,0.9088171022574577,12,tool_center,10.0,10.0,18,18,6,28,23,24,1.5555555555555556,6.0
8781.373196337248,20659.884901332316,19339.0,640.8849013323178,680.0,0.0,34,148.06217089933608,0.8729373824240796,13,tool_center,10.0,10.0,21,21,7,34,27,32,1.619047619047619,6.0
9557.938680514948,23166.98223686155,21613.0,753.9822368615503,800.0,0.0,40,166.95078854533764,0.8720820176027949,14,tool_center,10.0,10.0,25,25,9,40,36,38,1.6,6.0
8283.806561073772,18686.3362335677,17482.0,584.3362335677015,620.0,0.0,31,134.79929428998605,0.8567055227089492,15,tool_center,10.0,10.0,20,20,7,31,28,30,1.55,6.0
8899.795673320641,22431.931348704627,20800.25,791.6813487046279,840.0,0.0,42,163.55924809016443,0.862556268476216,16,tool_center,10.0,10.0,27,27,9,42,36,42,1.5555555555555556,6.0
10230.17657922407,22690.87957239078,20903.799999999996,867.0795723907829,920.0,0.0,46,170.71475102040205,0.7993307914539102,17,tool_center,10.0,10.0,28,28,10,46,39,42,1.6428571428571428,6.0
9060.264587265734,21392.23179278309,19799.4,772.8317927830891,820.0,0.0,41,157.88168813844695,0.8181816547970975,18,tool_center,10.0,10.0,26,26,9,41,36,38,1.5769230769230769,6.0
9351.358752581928,23869.47779607694,21927.0,942.4777960769379,1000.0,0.0,50,178.05010648554855,0.8730483237033055,19,tool_center,10.0,10.0,30,30,11,50,44,50,1.6666666666666667,6.0
11982.09078764595,23777.376019763095,21679.5,1017.8760197630929,1080.0,0.0,54,186.05106167410736,0.8188630408492341,20,tool_center,10.0,10.0,33,33,12,54,47,44,1.6363636363636365,6.0
12292.901997846573,26021.070690821558,23457.0,1244.0706908215582,1320.0,0.0,66,207.49115744980094,0.8353570108841709,21,tool_center,10.0,10.0,38,38,14,66,54,52,1.736842105263158,6.0
11148.710741177318,25615.068914507712,22895.6,1319.4689145077132,1400.0,0.0,70,206.3727660548932,0.7419478634775598,22,tool_center,10.0,10.0,40,40,15,70,59,64,1.75,6.0
10041.606738334232,18742.173355292325,16411.2,1130.9733552923256,1200.0,0.0,60,161.7940802531301,0.4468400295619457,23,tool_center,10.0,10.0,36,36,13,60,52,56,1.6666666666666667,6.0
